branch_id,ending,macro_topic_name,toxicity,stance,cross_partisan
148,inconclusive,Other,0.0514,1.0,False
149,inconclusive,Other,0.0803,1.0,False
149,inconclusive,Other,0.0803,1.0,False
149,inconclusive,Trump,0.0803,1.0,False
150,disagreement,Other,0.1204,1.0,False
150,disagreement,Other,0.1204,1.0,False
150,disagreement,Other,0.1204,1.0,False
150,disagreement,Trump,0.1204,1.0,False
151,inconclusive,Other,0.0776,1.0,False
151,inconclusive,Other,0.0776,1.0,False
151,inconclusive,Other,0.0776,1.0,False
151,inconclusive,Other,0.0776,1.0,False
152,disagreement,Other,0.196,1.0,False
152,disagreement,Other,0.196,1.0,False
152,disagreement,Other,0.196,1.0,False
152,disagreement,Trump,0.196,1.0,False
152,disagreement,Other,0.196,1.0,False
153,disagreement,Other,0.1671,1.0,False
153,disagreement,Other,0.1671,1.0,False
153,disagreement,Other,0.1671,1.0,False
153,disagreement,Other,0.1671,1.0,False
154,inconclusive,Other,0.0559,1.0,False
154,inconclusive,Other,0.0559,1.0,False
154,inconclusive,Other,0.0559,1.0,False
155,inconclusive,Interviews/Podcasts,0.2763,1.0,False
155,inconclusive,Other,0.2763,1.0,False
155,inconclusive,Other,0.2763,1.0,False
156,inconclusive,Interviews/Podcasts,0.0898,1.0,False
156,inconclusive,Other,0.0898,1.0,False
156,inconclusive,Other,0.0898,1.0,False
156,inconclusive,Media Bias,0.0898,1.0,False
157,disagreement,Other,0.0704,1.0,False
157,disagreement,Other,0.0704,1.0,False
157,disagreement,Other,0.0704,1.0,False
158,disagreement,Interviews/Podcasts,0.0793,1.0,False
158,disagreement,Other,0.0793,1.0,False
158,disagreement,Other,0.0793,1.0,False
159,agreement,Other,0.1619,1.0,False
159,agreement,Tariffs and Economy,0.1619,1.0,False
159,agreement,Media Bias,0.1619,1.0,False
160,inconclusive,Other,0.2013,1.0,False
160,inconclusive,Other,0.2013,1.0,False
160,inconclusive,Other,0.2013,1.0,False
161,disagreement,Other,0.1258,1.0,False
161,disagreement,Election Predictions,0.1258,1.0,False
161,disagreement,Other,0.1258,1.0,False
162,disagreement,Trump,0.142,1.0,False
162,disagreement,Other,0.142,1.0,False
162,disagreement,Other,0.142,1.0,False
162,disagreement,Other,0.142,1.0,False
163,inconclusive,Other,0.0793,1.0,False
163,inconclusive,Other,0.0793,1.0,False
163,inconclusive,Other,0.0793,1.0,False
164,inconclusive,Cognitive Decline,0.2137,1.0,False
164,inconclusive,Other,0.2137,1.0,False
164,inconclusive,Other,0.2137,1.0,False
164,inconclusive,Other,0.2137,1.0,False
165,inconclusive,Other,0.0404,1.0,False
165,inconclusive,Other,0.0404,1.0,False
165,inconclusive,Other,0.0404,1.0,False
166,inconclusive,Other,0.1405,1.0,False
166,inconclusive,Other,0.1405,1.0,False
166,inconclusive,Other,0.1405,1.0,False
167,inconclusive,Other,0.1385,1.0,True
167,inconclusive,Other,0.1385,1.0,True
167,inconclusive,Other,0.1385,1.0,True
168,inconclusive,Other,0.0961,1.0,False
168,inconclusive,Other,0.0961,1.0,False
168,inconclusive,Other,0.0961,1.0,False
169,disagreement,Other,0.1232,1.0,False
169,disagreement,Other,0.1232,1.0,False
169,disagreement,Interviews/Podcasts,0.1232,1.0,False
170,inconclusive,Other,0.109,1.0,False
170,inconclusive,Other,0.109,1.0,False
170,inconclusive,Other,0.109,1.0,False
171,inconclusive,Other,0.0943,1.0,False
171,inconclusive,Other,0.0943,1.0,False
171,inconclusive,Other,0.0943,1.0,False
172,inconclusive,Other,0.095,1.0,False
172,inconclusive,Other,0.095,1.0,False
172,inconclusive,Interviews/Podcasts,0.095,1.0,False
173,inconclusive,Other,0.1516,1.0,False
173,inconclusive,Other,0.1516,1.0,False
173,inconclusive,Other,0.1516,1.0,False
174,inconclusive,Other,0.1837,1.0,False
174,inconclusive,Other,0.1837,1.0,False
174,inconclusive,Other,0.1837,1.0,False
175,inconclusive,Other,0.1059,1.0,False
175,inconclusive,Interviews/Podcasts,0.1059,1.0,False
175,inconclusive,Media Bias,0.1059,1.0,False
175,inconclusive,Other,0.1059,1.0,False
176,inconclusive,Other,0.1263,1.0,False
176,inconclusive,Other,0.1263,1.0,False
176,inconclusive,Media Bias,0.1263,1.0,False
177,inconclusive,Other,0.0981,1.0,True
177,inconclusive,Other,0.0981,1.0,True
177,inconclusive,Other,0.0981,1.0,True
178,inconclusive,Other,0.107,1.0,False
178,inconclusive,Other,0.107,1.0,False
178,inconclusive,Other,0.107,1.0,False
179,inconclusive,Other,0.0926,1.0,False
179,inconclusive,Other,0.0926,1.0,False
179,inconclusive,Other,0.0926,1.0,False
180,inconclusive,Other,0.1186,1.0,False
180,inconclusive,Other,0.1186,1.0,False
180,inconclusive,Other,0.1186,1.0,False
181,inconclusive,Other,0.0945,1.0,False
181,inconclusive,Other,0.0945,1.0,False
181,inconclusive,Interviews/Podcasts,0.0945,1.0,False
182,inconclusive,Other,0.092,1.0,False
182,inconclusive,Other,0.092,1.0,False
182,inconclusive,Other,0.092,1.0,False
183,inconclusive,Other,0.3027,1.0,False
183,inconclusive,Other,0.3027,1.0,False
183,inconclusive,Other,0.3027,1.0,False
184,disagreement,Other,0.3894,1.0,False
184,disagreement,Other,0.3894,1.0,False
184,disagreement,Other,0.3894,1.0,False
185,disagreement,Other,0.3024,1.0,False
185,disagreement,Other,0.3024,1.0,False
185,disagreement,Other,0.3024,1.0,False
185,disagreement,Other,0.3024,1.0,False
186,inconclusive,Other,0.3116,1.0,False
186,inconclusive,Other,0.3116,1.0,False
186,inconclusive,Other,0.3116,1.0,False
